,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
163,64,63,62,0,0,2/4,1,1,V,,G,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
164,64,63,62,3/8,3/8,2/4,1,1,V2,,G,vi,,V2,,V,,2,,,,Mm7,False,True,"(-1, 1, 5, 2)",(),1,-1
165,64,63,62,1/2,1/2,2/4,1,1,i6,,G,vi,,i6,,i,,6,,,,m,False,True,"(-3, 1, 0)",(),0,-3
166,64,63,62,3/4,3/4,2/4,1,1,#viio/v,,G,vi,,#viio/v,,#vii,o,,,v,,o,False,True,"(6, 3, 0)",(),6,6
167,65,64,63,0,0,2/4,1,1,vi,i,G,vi,,vi,,vi,,,,,,m,False,True,"(-4, -7, -3)",(),-4,-4
168,65,64,63,1/4,1/4,2/4,1,1,i6,,G,vi,,i6,,i,,6,,,,m,False,True,"(-3, 1, 0)",(),0,-3
169,65,64,63,1/2,1/2,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
170,65,64,63,3/4,3/4,2/4,1,1,V,,G,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
171,66,65,64,0,0,2/4,1,1,i,,G,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
172,66,65,64,1/2,1/2,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
173,66,65,64,7/8,7/8,2/4,1,1,V6/iv,,G,vi,,V6/iv,,V,,6,,iv,,M,False,True,"(4, 1, 0)",(),0,4
174,67,66,65,0,0,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
175,67,66,65,1/2,1/2,2/4,1,1,V,,G,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
176,68,67,66,0,0,2/4,1,1,V6,,G,vi,,V6,,V,,6,,,,M,False,True,"(5, 2, 1)",(),1,5
177,68,67,66,1/2,1/2,2/4,1,1,i,,G,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
178,68,67,66,3/4,3/4,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
179,69,68,67,0,0,2/4,1,1,V(64),,G,vi,,V(64),,V,,,64,,,M,False,True,"(1, 0, -3)",(),1,1
180,69,68,67,1/2,1/2,2/4,1,1,V,,G,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
181,70,69,68,0,0,2/4,1,1,i\\,,G,vi,,i,,i,,,,,\\,m,False,True,"(0, -3, 1)",(),0,0
182,70,69,68,3/4,3/4,2/4,1,1,},,G,vi,,,,,,,,,},,False,True,,,,
183,1,1,69,0,0,4/4,1,1,.G.I{,,G,I,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
184,1,1,69,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
185,2,2,70,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
186,2,2,70,1/2,1/2,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
187,2,2,70,3/4,3/4,4/4,1,1,.It6/V,,G,I,,It6/V,It,vii,o,6,b3,V/V,,It,False,False,"(-3, 1, 7)",(),7,-3
188,3,3,71,0,0,4/4,1,1,v,,G,I,,v,,v,,,,,,m,False,False,"(1, -2, 2)",(),1,1
189,3,3,71,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
190,4,4,72,0,0,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
191,4,4,72,1/4,1/4,4/4,1,1,.I6/V,,G,I,,I6/V,,I,,6,,V,,M,False,False,"(5, 2, 1)",(),1,5
192,4,4,72,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
193,4,4,72,7/8,7/8,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
194,5,5,73,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
195,6,6,74,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
196,6,6,74,3/4,3/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
197,7,7,75,0,0,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
198,7,7,75,1/4,1/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
199,7,7,75,1/2,1/2,4/4,1,1,V\\,,G,I,,V,,V,,,,,\\,M,False,False,"(1, 5, 2)",(),1,1
200,8,8,76,0,0,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
201,8,8,76,1/2,1/2,4/4,1,1,I64,,G,I,,I64,,I,,64,,,,M,False,False,"(1, 0, 4)",(),0,1
