AriaId,AriaLabel,AriaName,Year,Composer,Librettist,Act,Scene,ActAndScene,Form,Role,RoleType,City,Territory
0175,Did,Ah_non_sai,1760,Bernasconi,a,2,12,212,Al segno,Enea,Male lover 1,Venice,Italy
0176,Did,Cosi_fra,1760,Bernasconi,X,2,13,213,Al segno,Selene,Female lover 2,Venice,Italy
0177,Did,Chiamami_pur,1760,Bernasconi,M,2,16,216,Da capo,Iarba,Male lover 2,Venice,Italy
0178,Did,Io_veggo,1760,Bernasconi,m,2,17,217,Al segno,Didone,Female lover 1,Venice,Italy
0179,Did,Quando_londa,1760,Bernasconi,M,3,7,307,Al segno,Osmida,Antagonist,Venice,Italy
0180,Did,A_trionfar,1760,Bernasconi,M,3,8,308,Al segno,Enea,Male lover 1,Venice,Italy
0181,Did,Nel_duol,1760,Bernasconi,M,3,9,309,Al segno,Selene,Female lover 2,Venice,Italy
0182,Did,Va_crescendo,1760,Bernasconi,M,3,10,310,A,Didone,Female lover 1,Venice,Italy
0183,Did,Cadra_fra,1760,Bernasconi,M,3,19,319,Al segno,Iarba,Male lover 2,Venice,Italy
0184,Did,Vado_ma,1760,Bernasconi,M,3,21,321,recit,Didone,Female lover 1,Venice,Italy
0185,Did,Dovrei_ma,1742,Hasse,M,1,2,102,recit,Enea,Male lover 1,Wermsdorf,Empire
0186,Did,Diro_che,1742,Hasse,M,1,3,103,Al segno,Selene,Female lover 2,Wermsdorf,Empire
0187,Did,Tu_mi_scorgi,1742,Hasse,M,1,6,106,Da capo,Osmida,Antagonist,Wermsdorf,Empire
0188,Did,Fra_lo,1742,Hasse,M,1,7,107,Al segno,Iarba,Male lover 2,Wermsdorf,Empire
0189,Did,Se_dalle,1742,Hasse,M,1,8,108,Al segno,Araspe,Male lover 3,Wermsdorf,Empire
0190,Did,Leon_che,1742,Hasse,M,2,2,202,Al segno,Iarba,Male lover 2,Wermsdorf,Empire
0191,Did,L_augelletto,1742,Hasse,M,2,4,204,Al segno,Araspe,Male lover 3,Wermsdorf,Empire
0192,Did,Vedi_nel,1742,Hasse,M,2,7,207,Al segno,Enea,Male lover 1,Wermsdorf,Empire
0193,Did,Tacero_se,1742,Hasse,M,2,10,210,Da capo,Araspe,Male lover 3,Wermsdorf,Empire
0194,Did,Veggio_la,1742,Hasse,M,2,12,212,Al segno,Selene,Female lover 2,Wermsdorf,Empire
0195,Did,Chiamami_pur,1742,Hasse,M,2,15,215,Da capo,Iarba,Male lover 2,Wermsdorf,Empire
0196,Did,Va_lusingando,1742,Hasse,M,2,16,216,Al segno,Didone,Female lover 1,Wermsdorf,Empire
0197,Did,Vivi_superbo,1742,Hasse,M,3,2,302,Al segno,Enea,Male lover 1,Wermsdorf,Empire
0198,Did,Dovrei_ma,1747,Jommelli,M,1,2,102,recit,Enea,Male lover 1,Rome,Italy
0199,Did,Diro_che,1747,Jommelli,M,1,3,103,Al segno,Selene,Female lover 2,Rome,Italy
0200,Did,Tu_mi_scorgi,1747,Jommelli,M,1,6,106,Da capo,Osmida,Antagonist,Rome,Italy
0201,Did,Fra_lo,1747,Jommelli,M,1,7,107,Al segno,Iarba,Male lover 2,Rome,Italy
0202,Did,Diro_che,1749,Jommelli,M,1,3,103,Da capo,Selene,Female lover 2,Vienna,Empire
0203,Did,Se_dalle,1749,Jommelli,M,1,8,108,Al segno,Araspe,Male lover 3,Vienna,Empire
0204,Did,Tacero_se,1749,Jommelli,M,2,8,208,Da capo,Araspe,Male lover 3,Vienna,Empire
0205,Did,Va_lusingando,1749,Jommelli,M,2,14,214,Al segno,Didone,Female lover 1,Vienna,Empire
0206,Did,Ardi_per,1749,Jommelli,M,2,1,201,Da capo,Selene,Female lover 2,Vienna,Empire
0207,Did,Son_quel,1749,Jommelli,M,1,13,113,Al segno,Iarba,Male lover 2,Vienna,Empire
0208,Did,Tormento_il,1749,Jommelli,M,2,9,209,Da capo,Enea,Male lover 1,Vienna,Empire
0209,Did,Quando_londa,1749,Jommelli,M,3,6,306,Da capo,Osmida,Antagonist,Vienna,Empire
0210,Did,A_trionfar,1749,Jommelli,M,3,7,307,Al segno,Enea,Male lover 1,Vienna,Empire
0211,Did,Gia_si,1760,Bernasconi,M,3,16,316,Al segno,Araspe,Male lover 3,Venice,Italy
0212,Did,Quando_londa,1742,Hasse,M,3,7,307,Al segno,Osmida,Antagonist,Wermsdorf,Empire
0213,Did,A_trionfar,1742,Hasse,M,3,8,308,Al segno,Enea,Male lover 1,Wermsdorf,Empire
0214,Did,Quando_saprai,1747,Jommelli,M,1,9,109,Da capo,Enea,Male lover 1,Rome,Italy
0215,Did,Infelice_e,1747,Jommelli,M,1,13,113,Da capo,Araspe,Male lover 3,Rome,Italy
0216,Did,Tu_mi_disarmi,1747,Jommelli,M,1,16,116,Al segno,Iarba,Male lover 2,Rome,Italy
0217,Did,Nel_duol,1749,Jommelli,M,3,8,308,Da capo,Selene,Female lover 2,Vienna,Empire
0218,Did,Gia_si,1749,Jommelli,M,3,15,315,Da capo,Araspe,Male lover 3,Vienna,Empire
0219,Did,Fosca_nube,1749,Jommelli,M,3,6,306,Al segno,Iarba,Male lover 2,Vienna,Empire
