AriaId,Character,Clef1,Clef2,Clef3
0168,Iarba,C-4,,
0169,Didone&Enea,C-1,C-1,
0170,Osmida,C-4,,
0171,Iarba,C-4,,
0172,Selene,C-1,,
0173,Enea,C-1,,
0174,Araspe,C-3,,
0175,Enea,C-1,,
0176,Selene,C-1,,
0177,Iarba,C-4,,
0178,Didone,C-1,,
0179,Osmida,C-4,,
0180,Enea,C-1,,
0181,Selene,C-1,,
0182,Didone,C-1,,
0183,Iarba,C-4,,
0184,Didone,C-1,,
0185,Enea,C-3,,
0186,Selene,C-1,,
0187,Osmida,F-4,,
0188,Iarba,C-1,,
0189,Araspe,C-1,,
0190,Iarba,C-1,,
0191,Araspe,C-1,,
0192,Enea,C-3,,
0193,Araspe,C-1,,
0194,Selene,C-1,,
0195,Iarba,C-1,,
0196,Didone,C-1,,
0197,Enea,C-3,,
0198,Enea,C-1,,
0199,Selene,C-1,,
0200,Osmida,C-3,,
0201,Iarba,C-4,,
0202,Selene,C-1,,
0203,Araspe,C-1,,
0204,Araspe,C-1,,
0205,Didone,C-1,,
0206,Selene,C-1,,
0207,Iarba,C-4,,
0208,Enea,C-1,,
0209,Osmida,C-3,,
0210,Enea,C-1,,
0211,Araspe,C-3,,
0212,Osmida,F-4,,
0213,Enea,C-3,,
0214,Enea,C-1,,
0215,Araspe,C-1,,
0216,Iarba,C-4,,
0217,Selene,C-1,,
0218,Araspe,C-1,,
0219,Iarba,C-4,,
0220,Didone,C-1,,
0221,Enea,C-1,,
0222,Enea,C-1,,
0223,Osmida,C-3,,
0224,Enea,C-1,,
0225,Selene,C-1,,
0226,Didone,C-1,,
0227,Araspe,C-1,,
0228,Didone,C-1,,
0229,Selene,C-1,,
0230,Enea,C-1,,
0231,Araspe,C-1,,
0232,Didone,C-1,,
0233,Selene,C-1,,
0234,Didone,C-1,,
0235,Osmida,C-4,,
0236,Iarba,C-4,,
0237,Araspe,C-1,,
0238,Enea,C-1,,
0239,Enea,C-1,,
0240,Selene,C-1,,
0241,Iarba,C-4,,
0242,Enea,C-1,,
0243,Selene,C-1,,
0244,Araspe,C-1,,
0245,Iarba,C-4,,
0246,Iarba,C-4,,
0247,Selene,C-1,,
0248,Araspe,C-3,,
0249,Araspe,C-1,,
0250,Enea,C-1,,
0251,Enea,C-1,,
0252,Iarba,C-4,,
0253,Enea,C-1,,
0254,Didone,C-1,,
0255,Selene,C-1,,
0256,Iarba,C-4,,
0257,Enea,C-1,,
0258,Didone,C-1,,
0259,Osmida,C-4,,
0260,Iarba,C-4,,
0261,Enea,C-1,,
0262,Araspe,F-4,,
0263,Araspe,C-1,,
0264,Selene,C-1,,
0265,Enea,C-1,,
0266,Didone,C-1,,
0267,Didone,C-1,,
0268,Selene,C-1,,
0269,Iarba,C-4,,
0270,Iarba,C-4,,
0271,Enea,C-1,,
0272,Osmida,C-4,,
0273,Didone,C-1,,
0274,Enea,C-1,,
0275,Selene,C-1,,
0276,Didone,C-1,,
0277,Enea,C-1,,
0278,Iarba,C-4,,
0279,Didone,C-1,,
0280,Enea,C-1,,
0281,Osmida,C-4,,
0282,Iarba,C-4,,
0283,Enea,C-1,,
0284,Araspe,C-3,,
0285,Enea,C-1,,
0286,Araspe,F-4,,
0287,Iarba,C-4,,
0288,Osmida,C-4,,
0289,Selene,C-1,,
0290,Araspe,C-3,,
0291,Selene,C-1,,
0292,Enea,C-4,,
0293,Iarba,C-4,,
0294,Enea,C-1,,
0295,Didone,C-1,,
0296,Selene,C-1,,
0297,Enea,C-1,,
0298,Enea,C-1,,
0299,Araspe,C-1,,
0300,Selene,C-1,,
0301,Didone,C-1,,
0302,Araspe,C-3,,
0303,Iarba,C-4,,
0304,Iarba,C-4,,
0305,Didone,C-1,,
0306,Iarba,C-4,,
0307,Selene,C-1,,
0308,Didine&Enea&Iarba,C-1,C-1,C-4
0309,Didone&Iarba,C-1,C-4,
0310,Didone&Enea,C-1,C-1,
